Date,Pack,Cause,Age
7/26/2005,Swan Lake,Natural Unknown,Adult
1/8/2005,Disperser from Swan Lake,Intraspecific,Adult
2/10/2005,Druid Peak,Intraspecific,Yearling
11/2/2005,Disperser from Mollie's,Interspecific,Adult
7/17/2005,Leopold,Natural Unknown,Adult
7/20/2005,Disperser from Cougar Creek,Natural Unknown,Adult
1/31/2005,Biscuit Basin,Intraspecific,Pup
5/5/2005,Dispersed from Biscuit Basin,Illegal,Adult
6/27/2005,287M group,Interspecific,Adult
8/7/2005,Nez Perce,Natural Unknown,Yearling
8/8/2005,Disperser from Geode Creek,Malnutrition,Yearling
6/4/2005,Mollie's,Intraspecific,Yearling
6/12/2004,Druid Peak,Natural Unknown,Adult
2/1/2004,Druid Peak,Intraspecific,Adult
3/19/2004,Disperser from Nez Perce,Control Action,Adult
3/28/2004,Disperser from Agate Creek,Vehicle,Adult
12/4/2004,Mollie's,Unknown,Adult
10/15/2004,Specimen Ridge,Natural Unknown,Adult
3/24/2004,Swan Lake,Intraspecific,Adult
1/23/2004,Disperser from Nez Perce,Control Action,Adult
1/22/2004,Disperser from Nez Perce,Illegal,Adult
1/10/2004,Slough Creek,Intraspecific,Adult
3/12/2004,Disperser from Nez Perce,Control Action,Adult
6/8/2004,Slough Creek,Natural Unknown,Adult
6/1/2004,Disperser from Swan Lake,Vehicle,Adult
9/10/2004,Disperser from Sheep Mtn,Control Action,Adult
5/19/2004,Nez Perce,Natural Unknown,Yearling
2/4/2004,Disperser from Geode Creek,Human,Yearling
2/1/2004,Druid Peak,Intraspecific,Adult
3/16/2004,Chief Joseph,Human,Adult
3/18/2004,Unknown,Unknown,Pup
8/11/2004,Cougar Creek,Vehicle,Adult
7/23/2004,Druid Peak,Natural Unknown,Pup
9/24/2004,Gibbon Meadows,Vehicle,Pup
12/12/2004,Unknown,Natural Unknown,Unknown
12/1/2004,Nez Perce,Natural Unknown,Yearling
6/6/2003,Buffalo Fork,Intraspecific,Adult
3/7/2003,Mollie's,Interspecific,Adult
9/2/2003,Rose Creek II,Natural Unknown,Adult
4/12/2003,Tower,Natural Unknown,Adult
1/21/2003,Disperser from Leopold,Intraspecific,Adult
8/7/2003,Leopold,Interspecific,Adult
6/17/2003,Disperser from Agate Creek,Interspecific,Adult
4/21/2003,Leopold,Natural Unknown,Adult
7/29/2003,Disperser from Rose Creek II,Natural Unknown,Adult
4/28/2003,Geode Creek,Interspecific,Adult
3/8/2003,Agate Creek,Disease,Adult
2/4/2003,Unknown,Intraspecific,Yearling
7/27/2003,Druid Peak,Natural Unknown,Pup
11/15/2003,Swan Lake,Intraspecific,Yearling
12/09/2003,302M group,Intraspecific,Pup
12/06/2003,Swan Lake,Natural Unknown,Pup
08/08/2001,Chief Joseph,Vehicle,Adult
11/27/2001,Chief Joseph,Natural,Adult
01/13/2001,Nez Perce,Natural,Adult
03/22/2001,Leopold,Vehicle,Adult
11/28/2001,Alone,Control Action,Adult
01/17/2001,Nez Perce,Illegal,Yearling
